ISO,Negative_Morphemes
zro,2.0
xsu,4.0
myb,0.0
grj,4.0
ksd,3.0
djm,1.0
mug,0.0
loj,2.0
doo,0.0
hch,1.0
bhw,0.0
tpt,0.0
bni,2.0
tbo,0.0
cnh,3.0
mnw,3.0
duj,0.0
kue,1.0
dhv,3.0
kaa,1.0
dni,0.0
sag,0.0
kee,0.0
scl,0.0
mxu,0.0
rao,1.0
mdw,0.0
gup,0.0
gub,1.0
aey,0.0
kqz,3.0
pym,0.0
xed,2.0
div,1.0
ahg,1.0
mwe,1.0
teo,0.0
wro,0.0
gyb,0.0
tll,1.0
bbo,2.0
had,0.0
sei,1.0
shj,0.0
mgu,0.0
mfr,0.0
wgu,0.0
irn,1.0
nup,3.0
ppl,0.0
aom,0.0
dnj,0.0
urb,0.0
eme,2.0
rma,0.0
nez,0.0
gdq,0.0
hix,1.0
pwn,0.0
bdr,0.0
mni,1.0
lec,1.0
fub,1.0
nhu,2.0
liy,2.0
mbq,2.0
apc,0.0
nnm,1.0
zgb,3.0
chh,0.0
kbc,1.0
pst,1.0
cab,0.0
tsg,0.0
tbl,0.0
tan,1.0
niu,3.0
vam,0.0
yrb,1.0
mph,0.0
wrk,0.0
tti,0.0
btx,3.0
fla,0.0
pss,0.0
bfw,1.0
wmt,0.0
ijc,5.0
ura,1.0
dud,0.0
fun,1.0
gde,0.0
kbd,1.0
asa,1.0
pay,1.0
toi,1.0
mep,0.0
cgg,1.0
mkd,0.0
alh,0.0
cpa,1.0
xnz,1.0
bio,1.0
raw,0.0
jei,0.0
tsj,5.0
urk,3.0
kup,1.0
kbk,0.0
bmr,1.0
rif,0.0
moc,1.0
deg,2.0
yue,0.0
khd,0.0
uli,3.0
kos,0.0
koi,4.0
wti,1.0
hna,0.0
cao,1.0
snq,1.0
dow,2.0
zrs,1.0
tta,2.0
ddo,4.0
mbj,0.0
cas,0.0
woa,2.0
kvn,1.0
ewe,2.0
ckt,0.0
bfa,0.0
njh,1.0
apu,0.0
mmn,0.0
drd,1.0
sln,2.0
aer,1.0
tir,2.0
kln,1.0
krs,0.0
kio,2.0
eky,3.0
pwu,1.0
plg,1.0
ega,0.0
zmu,0.0
lao,3.0
adn,0.0
bbc,0.0
mhu,1.0
was,1.0
tel,1.0
lif,2.0
cap,0.0
tna,0.0
diq,1.0
nju,0.0
est,0.0
ywt,3.0
tvu,0.0
ktz,3.0
bsn,1.0
wyb,0.0
saj,0.0
aqc,1.0
mls,1.0
xav,0.0
kza,0.0
tpy,0.0
nuy,0.0
dua,0.0
yee,1.0
nya,1.0
swv,0.0
sba,0.0
nbl,2.0
ras,1.0
thd,0.0
khl,0.0
evn,2.0
kgy,1.0
ote,0.0
crk,0.0
mor,4.0
mik,1.0
boi,1.0
duo,0.0
teu,0.0
gbr,2.0
hay,1.0
idu,2.0
los,0.0
bll,0.0
szg,2.0
wgy,0.0
pma,1.0
tlb,1.0
mqs,0.0
oma,1.0
njz,1.0
arz,0.0
ctm,1.0
cir,3.0
apt,1.0
irk,1.0
lag,1.0
lis,3.0
cax,1.0
