ISO,Zero_Marking_of_A_and_P_Arguments
ppl,0.0
zul,0.0
wsk,0.0
zoc,0.0
kio,0.0
mph,0.0
yrk,0.0
xsu,0.0
par,0.0
ijc,1.0
arz,0.0
yaq,0.0
rma,0.0
tpy,0.0
sad,0.0
ayc,0.0
bzd,0.0
duj,0.0
ncg,0.0
ewe,1.0
pad,0.0
swt,0.0
amp,0.0
kgo,0.0
ace,0.0
kdd,0.0
ckt,0.0
laj,0.0
nrb,0.0
bsn,0.0
dbl,0.0
yss,0.0
evn,0.0
bod,0.0
tsz,0.0
pwn,0.0
nab,0.0
sza,0.0
kig,0.0
yur,0.0
mdx,0.0
bej,0.0
yux,0.0
plt,0.0
lkt,0.0
aer,0.0
ain,0.0
chd,0.0
kjq,0.0
wnw,0.0
kpw,0.0
tya,0.0
noo,0.0
mpc,0.0
tqw,0.0
khq,0.0
tiw,0.0
caq,0.0
brh,0.0
zun,0.0
aey,0.0
tzm,0.0
gyd,0.0
wac,0.0
cbt,0.0
inh,0.0
ctm,0.0
rap,0.0
inz,0.0
cku,0.0
yor,0.0
mpb,0.0
csz,0.0
wyb,0.0
khk,0.0
kxu,0.0
gup,0.0
spp,1.0
gug,0.0
isl,0.0
lez,0.0
vma,0.0
miq,0.0
vam,0.0
fvr,0.0
cnh,0.0
kan,0.0
wic,0.0
yuc,0.0
bor,0.0
anz,0.0
eng,0.0
kcd,0.0
was,0.0
wba,0.0
ekg,0.0
one,0.0
mni,0.0
slp,1.0
naq,0.0
myp,1.0
tli,0.0
wrk,0.0
jiv,0.0
hix,0.0
bsk,0.0
ncz,0.0
saj,0.0
shp,0.0
mrc,0.0
wnd,0.0
ram,0.0
ote,0.0
jig,0.0
kut,0.0
ikx,0.0
kat,0.0
skd,0.0
qvi,0.0
auc,0.0
tlf,0.0
wrz,0.0
tjm,0.0
apu,0.0
nuy,0.0
lvk,0.0
abk,0.0
sue,0.0
dgz,0.0
unr,0.0
bvz,1.0
nll,0.0
crk,0.0
pes,0.0
hae,0.0
imn,0.0
guk,0.0
qui,0.0
heb,0.0
ktz,1.0
ras,0.0
kmn,0.0
pue,0.0
mhs,1.0
sag,0.0
gni,0.0
tun,0.0
niv,0.0
yli,0.0
bmi,0.0
kwi,0.0
arh,0.0
cha,0.0
yad,0.0
urf,0.0
nck,0.0
huv,0.0
pav,0.0
sll,0.0
pei,0.0
cmn,0.0
mzh,0.0
mwf,0.0
had,0.0
tkm,0.0
dgl,0.0
wnu,0.0
esu,0.0
squ,0.0
sja,0.0
lgg,0.0
kiy,0.0
ayz,0.0
xok,0.0
ape,0.0
cyb,0.0
swh,0.0
kyh,0.0
aqp,0.0
ung,0.0
