ISO,'When'_Clauses
xsu,1.0
nmf,1.0
yee,2.0
kio,1.0
pip,0.0
vma,1.0
lif,2.0
naq,0.0
tvl,2.0
mqs,0.0
ths,1.0
par,1.0
wmb,0.0
apu,0.0
wyb,2.0
kgo,0.0
heb,0.0
ewe,0.0
plt,0.0
gyd,0.0
kas,2.0
yad,1.0
knc,0.0
lez,1.0
lkt,0.0
duj,0.0
nhg,0.0
urb,0.0
yaq,0.0
khk,1.0
kjq,0.0
liy,0.0
anu,0.0
mky,0.0
pan,2.0
wrr,1.0
esu,1.0
tzm,2.0
eng,2.0
emp,0.0
kha,0.0
yux,1.0
mni,1.0
kwi,1.0
pwn,0.0
nut,0.0
tiw,0.0
gug,0.0
hix,1.0
ung,0.0
ain,0.0
dgl,1.0
bcq,1.0
kpw,0.0
bgr,1.0
mar,2.0
rap,0.0
pjt,1.0
tpi,0.0
kij,0.0
ote,0.0
tnc,2.0
mph,0.0
evn,1.0
brc,0.0
kdj,2.0
rma,1.0
amp,1.0
arh,1.0
inh,1.0
pav,2.0
mkf,0.0
abk,1.0
ram,0.0
pad,0.0
niy,0.0
com,1.0
vai,1.0
snf,1.0
cle,0.0
pes,0.0
kal,1.0
fub,2.0
ude,1.0
kat,2.0
laj,0.0
mpc,2.0
djk,0.0
snc,0.0
spp,2.0
hmt,1.0
som,0.0
aey,1.0
kfz,0.0
sag,0.0
kgr,0.0
lue,2.0
ijc,1.0
niv,1.0
mkj,0.0
sja,0.0
itz,2.0
squ,1.0
ktz,0.0
brh,0.0
mig,0.0
wba,1.0
sza,0.0
gni,2.0
cgg,2.0
dih,1.0
afb,2.0
bsk,1.0
grj,0.0
hoc,1.0
erg,0.0
myp,0.0
kgs,0.0
cmn,0.0
imn,0.0
ogo,0.0
pom,0.0
ibo,1.0
cir,0.0
chl,0.0
dni,1.0
mnb,0.0
pcm,0.0
yor,0.0
shp,1.0
tzj,0.0
zul,1.0
pma,0.0
gil,0.0
