ISO,Para-Linguistic_Usages_of_Clicks
bam,1.0
aaa,1.0
ood,0.0
dyu,1.0
kan,0.0
oyb,0.0
gue,2.0
lkt,2.0
som,1.0
dmw,2.0
bos,1.0
nez,2.0
dta,2.0
fuc,1.0
mzh,2.0
ude,2.0
ayn,1.0
yor,0.0
aul,0.0
lvk,0.0
zlm,0.0
fmp,0.0
ibo,0.0
rmz,0.0
plt,0.0
mos,1.0
bnc,2.0
mal,1.0
ket,2.0
abv,1.0
kca,2.0
heb,1.0
byw,2.0
acy,1.0
kjg,0.0
kfz,1.0
bkm,0.0
pma,0.0
ami,2.0
hur,2.0
myp,2.0
sza,2.0
pes,1.0
kij,0.0
tel,1.0
ayz,0.0
jhi,0.0
swh,0.0
kva,1.0
fub,0.0
wyy,0.0
ori,1.0
goa,1.0
mnw,2.0
ddo,1.0
mww,0.0
sbe,0.0
zab,0.0
kmh,0.0
gcr,0.0
lee,1.0
ary,1.0
num,0.0
jup,2.0
mtk,0.0
clo,0.0
cnk,0.0
lhu,2.0
lns,0.0
lub,0.0
cic,2.0
nap,1.0
ttr,0.0
yue,0.0
aey,0.0
min,0.0
mky,0.0
kat,1.0
bej,1.0
egl,1.0
bax,0.0
gsg,0.0
lij,1.0
gia,2.0
khm,0.0
mra,2.0
lbo,0.0
mni,2.0
emk,1.0
mlt,1.0
