ISO,"Order_of_Object,_Oblique,_and_Verb"
ung,3.0
yuj,4.0
wan,3.0
skf,3.0
kre,1.0
bmi,0.0
git,1.0
log,1.0
kuy,1.0
cpa,0.0
kgo,0.0
djr,1.0
naq,2.0
adt,1.0
arb,0.0
eng,0.0
lvk,2.0
mna,0.0
kab,0.0
bsn,4.0
aie,0.0
sht,1.0
jbu,0.0
ynd,1.0
mau,1.0
ige,0.0
ram,2.0
dsh,4.0
svs,3.0
frs,1.0
kfz,0.0
los,0.0
amy,1.0
pon,0.0
zml,1.0
adj,0.0
amk,0.0
myp,2.0
irk,1.0
xwk,1.0
zkk,1.0
rgr,1.0
wol,0.0
crk,1.0
wya,1.0
gyd,1.0
vma,0.0
yur,1.0
tlf,2.0
bex,0.0
rma,1.0
pqm,1.0
mbp,1.0
crw,1.0
yul,0.0
cho,2.0
tqw,1.0
bck,1.0
nid,1.0
aty,0.0
led,1.0
nce,4.0
mkf,0.0
gym,3.0
arz,0.0
kha,0.0
hup,1.0
kla,1.0
ega,0.0
lmc,1.0
knc,4.0
mxp,1.0
bqp,3.0
agg,2.0
spp,3.0
wyb,1.0
dje,1.0
ote,0.0
dhr,1.0
uli,0.0
ctp,0.0
nav,4.0
aqc,2.0
eme,1.0
bin,0.0
qvi,2.0
mwf,3.0
ncg,0.0
kwi,2.0
hae,2.0
wwr,1.0
pau,0.0
bkc,0.0
tik,1.0
ttr,0.0
wnw,1.0
mhi,1.0
wdj,1.0
hna,0.0
aun,0.0
tna,1.0
kpv,0.0
ghs,2.0
dip,1.0
wlg,0.0
mjw,2.0
mpt,4.0
kgj,4.0
luo,0.0
bdm,0.0
cop,0.0
ajg,1.0
lui,1.0
see,1.0
kmo,4.0
eky,0.0
ljp,0.0
tll,0.0
niy,1.0
mxx,3.0
bim,0.0
mej,0.0
tnl,0.0
zmu,1.0
god,1.0
zaw,0.0
sob,0.0
rtm,0.0
mwe,0.0
var,1.0
ssn,4.0
sba,0.0
wic,1.0
bor,1.0
djd,1.0
gvs,3.0
arr,3.0
lkr,3.0
kyh,1.0
sur,0.0
ann,0.0
trc,0.0
plt,0.0
ocu,0.0
yok,1.0
wiy,1.0
sad,1.0
vai,3.0
niu,0.0
ayz,0.0
