ISO,Symmetric_and_Asymmetric_Standard_Negation
mur,1.0
chh,1.0
deg,2.0
sue,0.0
laj,1.0
yuc,1.0
xsu,0.0
wrk,1.0
kan,2.0
urb,1.0
mph,0.0
csz,1.0
mky,1.0
hix,2.0
kij,1.0
yaq,1.0
pqm,0.0
ano,1.0
alc,1.0
mal,0.0
hat,0.0
nas,0.0
kla,1.0
khm,1.0
bod,0.0
zul,0.0
pue,1.0
yue,0.0
bej,0.0
kfz,1.0
mns,1.0
amp,0.0
tli,0.0
cbu,0.0
zaw,2.0
tmd,0.0
irk,2.0
pay,0.0
kun,0.0
tbd,0.0
bsn,1.0
axb,0.0
shp,1.0
ige,0.0
eky,0.0
cjh,0.0
gbp,0.0
ewe,0.0
dyo,0.0
tml,0.0
aey,0.0
wnu,0.0
mas,0.0
lgg,0.0
tkm,0.0
inh,1.0
knm,1.0
teu,0.0
ckt,0.0
apy,2.0
ons,1.0
trv,0.0
cas,1.0
evn,2.0
lue,0.0
ibo,2.0
tsz,1.0
skd,1.0
kio,0.0
fvr,1.0
nuy,0.0
diq,1.0
mtg,1.0
yux,0.0
plt,1.0
lkt,1.0
naq,0.0
ain,1.0
pma,0.0
cle,1.0
yor,0.0
caq,1.0
unr,1.0
wnw,2.0
yur,0.0
kpw,1.0
cgg,0.0
dgl,2.0
btx,1.0
ker,0.0
hur,2.0
huz,0.0
mpc,0.0
wrr,1.0
tqw,1.0
tpy,0.0
wmb,0.0
tiw,0.0
igb,2.0
qui,2.0
brh,0.0
sis,1.0
tsi,0.0
eng,0.0
kvn,1.0
crk,1.0
bqc,0.0
mam,0.0
squ,2.0
rap,0.0
cku,0.0
mkf,0.0
bam,0.0
khk,0.0
gol,0.0
dud,2.0
gug,0.0
ijc,0.0
lez,0.0
nez,1.0
vma,1.0
bfd,0.0
pbb,0.0
aro,2.0
wic,0.0
tun,0.0
bgr,0.0
spu,1.0
was,1.0
wba,2.0
blc,0.0
one,0.0
mni,0.0
ahg,2.0
lhu,0.0
myp,1.0
ung,0.0
set,2.0
bsk,1.0
wiy,0.0
shs,2.0
kha,0.0
mrc,1.0
hch,1.0
ram,1.0
yrk,2.0
gdo,0.0
isl,1.0
kut,1.0
car,2.0
ona,2.0
kat,1.0
zoc,2.0
qvi,0.0
pjt,0.0
tue,1.0
top,1.0
cui,0.0
apu,1.0
nmu,1.0
tzm,2.0
lvk,0.0
krs,0.0
abk,0.0
kng,1.0
ogu,2.0
nav,2.0
ses,0.0
yee,2.0
wsa,1.0
lrg,0.0
dni,0.0
pes,1.0
hae,0.0
imn,0.0
kbk,0.0
zmr,1.0
heb,0.0
hmt,2.0
ktz,1.0
mcn,1.0
kjg,1.0
oym,0.0
nll,2.0
sag,1.0
gni,1.0
ote,0.0
niv,0.0
jic,1.0
auc,0.0
bvr,0.0
kbd,0.0
swh,0.0
acv,2.0
ess,0.0
szp,0.0
huv,0.0
bmi,0.0
pia,1.0
kwi,0.0
yii,1.0
cha,1.0
yad,1.0
yrb,0.0
mde,0.0
poe,1.0
vam,1.0
bom,1.0
cyb,1.0
pav,2.0
pom,0.0
nyv,0.0
hvn,1.0
cmn,0.0
mzh,0.0
lbj,0.0
niy,1.0
som,2.0
dhv,1.0
arh,2.0
sza,0.0
djk,1.0
bae,2.0
sja,2.0
boi,1.0
lww,2.0
grt,0.0
yae,1.0
ayz,1.0
bor,0.0
ape,0.0
com,0.0
dgz,1.0
