ISO,Uvular_Consonants
guq,0.0
cbn,0.0
acv,1.0
gld,0.0
wrk,0.0
dow,0.0
tsz,0.0
mni,0.0
hus,0.0
oca,0.0
gbp,0.0
srq,0.0
xaw,0.0
nhg,0.0
rma,0.0
amf,2.0
cmn,0.0
wap,0.0
ald,0.0
niv,1.0
gwc,2.0
irk,2.0
ona,2.0
lkt,0.0
fia,0.0
khl,0.0
quh,2.0
klu,0.0
unr,0.0
ign,0.0
kpk,0.0
gni,0.0
coc,0.0
tcf,0.0
kwd,0.0
hae,0.0
xom,0.0
khm,0.0
pcc,0.0
blc,1.0
wol,0.0
kir,2.0
wuu,0.0
ibo,0.0
sin,0.0
cad,0.0
lef,0.0
bbc,0.0
lue,0.0
yss,0.0
kpw,0.0
shg,0.0
ekg,0.0
gmo,0.0
auc,0.0
snv,0.0
slz,0.0
ijc,0.0
mde,0.0
mph,0.0
apu,0.0
brb,0.0
cub,0.0
dag,0.0
yor,0.0
kmc,3.0
dry,0.0
pom,1.0
wti,0.0
jeh,0.0
pst,3.0
bbo,0.0
shb,0.0
kfe,0.0
maq,0.0
hup,2.0
ndv,0.0
lep,0.0
mur,0.0
som,2.0
bdl,0.0
dgz,0.0
tca,0.0
dni,0.0
tlo,0.0
amc,0.0
ikx,0.0
ogb,0.0
ung,0.0
cou,0.0
cha,0.0
wao,0.0
pwn,2.0
urb,0.0
ctp,0.0
spl,0.0
wrs,0.0
zoc,0.0
