ISO,"Position_of_Negative_Word_With_Respect_to_Subject,_Object,_and_Verb"
mgu,7.0
wlg,3.0
igb,2.0
tgo,1.0
ard,1.0
gqu,5.0
njb,0.0
ote,10.0
omb,3.0
nzm,1.0
asa,0.0
ewe,3.0
erk,3.0
wbl,7.0
xsr,0.0
nuy,1.0
adi,0.0
gnr,1.0
cui,3.0
bsk,0.0
pau,2.0
bae,2.0
mrc,3.0
knc,0.0
kue,0.0
rma,4.0
mzp,4.0
tsi,3.0
cak,3.0
blc,8.0
djm,0.0
kat,7.0
tfr,9.0
tac,1.0
kle,0.0
kbx,0.0
tnc,0.0
chv,0.0
imn,1.0
one,1.0
mcb,1.0
qvh,3.0
com,4.0
khe,3.0
new,0.0
tti,6.0
bas,1.0
gvs,7.0
peb,0.0
bli,6.0
kcr,3.0
wti,0.0
kqi,0.0
xsu,9.0
mwe,0.0
grj,11.0
ank,5.0
plt,10.0
ksd,1.0
tbd,4.0
tmu,1.0
ary,3.0
diq,0.0
skf,9.0
ori,0.0
bdm,5.0
vai,11.0
mla,2.0
pko,6.0
mpk,5.0
mbb,8.0
thp,4.0
nko,0.0
njo,6.0
aey,6.0
kzw,0.0
ign,1.0
ven,0.0
nuk,8.0
hup,1.0
nyi,7.0
psw,0.0
lun,3.0
bdh,5.0
klr,6.0
ane,2.0
jbu,5.0
mnw,2.0
eme,3.0
nmf,0.0
tcb,3.0
hop,7.0
maq,0.0
buf,0.0
duj,12.0
bco,0.0
shs,4.0
wdj,1.0
byw,6.0
kun,0.0
cko,15.0
lue,3.0
wrr,1.0
trc,8.0
hix,0.0
pwn,4.0
gup,1.0
mni,0.0
gae,3.0
jiv,0.0
bfu,1.0
nbc,0.0
kff,0.0
cup,4.0
mlv,3.0
khl,5.0
jei,1.0
asm,0.0
dma,6.0
kde,0.0
xsi,5.0
rmw,6.0
bzd,1.0
yaa,0.0
mgf,1.0
ssd,9.0
agb,0.0
raw,7.0
cku,0.0
bca,2.0
nju,1.0
yrk,7.0
ksi,9.0
bri,0.0
pia,4.0
klu,11.0
izz,3.0
dds,0.0
imi,3.0
apt,0.0
uby,0.0
ssn,3.0
mus,0.0
ega,5.0
wim,1.0
ntp,8.0
sro,2.0
kca,7.0
zaw,0.0
bom,5.0
bej,0.0
kac,1.0
mpe,13.0
emi,2.0
tuo,0.0
kfk,7.0
woi,6.0
gcd,3.0
yij,2.0
alp,5.0
tdh,3.0
car,0.0
iwm,9.0
clo,1.0
was,0.0
bud,2.0
yia,2.0
ckt,1.0
isl,4.0
gvn,1.0
hke,0.0
kah,5.0
nus,12.0
huu,0.0
mjw,0.0
tsj,6.0
ket,7.0
ras,0.0
yuj,4.0
sun,2.0
tri,0.0
kto,8.0
tuv,0.0
kgr,3.0
thf,0.0
meu,4.0
mhi,4.0
xho,0.0
yon,9.0
mqs,5.0
yuf,6.0
nbm,5.0
ktz,2.0
squ,8.0
wyb,1.0
ntj,0.0
lln,5.0
bav,3.0
mlq,11.0
uig,0.0
vay,7.0
tpy,4.0
shp,0.0
tbo,1.0
pad,4.0
bll,6.0
kdj,4.0
mug,5.0
mbj,4.0
wms,0.0
iqu,13.0
sei,0.0
evn,3.0
tcf,0.0
wnd,0.0
nav,4.0
dgz,7.0
opt,1.0
poi,2.0
jig,7.0
ure,1.0
kgq,0.0
teu,8.0
eve,3.0
mkz,7.0
djj,1.0
urk,2.0
hmr,1.0
mjd,0.0
brb,2.0
ayc,4.0
xtc,1.0
kna,3.0
aph,0.0
lui,1.0
snn,0.0
arz,6.0
aty,10.0
pst,0.0
kzj,8.0
yee,0.0
chf,2.0
njz,0.0
xed,3.0
mpb,1.0
kay,6.0
pon,2.0
cme,2.0
dju,0.0
szp,1.0
ikx,8.0
txu,9.0
cdm,0.0
urd,7.0
bfd,3.0
hmt,0.0
can,3.0
pue,0.0
mdd,5.0
tvu,11.0
jae,5.0
ogu,0.0
yao,0.0
abk,0.0
tsz,1.0
anc,5.0
hak,2.0
nut,2.0
bxm,0.0
eno,1.0
swv,1.0
aoi,1.0
moc,0.0
tsg,1.0
oym,3.0
mhq,3.0
chh,10.0
hni,1.0
kpx,0.0
udl,5.0
amk,5.0
apr,5.0
bci,3.0
kwn,1.0
aer,0.0
caq,10.0
tbi,5.0
nmd,3.0
dow,3.0
dis,0.0
kha,2.0
gil,10.0
mva,7.0
huc,2.0
nrz,1.0
bkc,5.0
ese,9.0
kut,4.0
tbl,8.0
yue,2.0
bin,2.0
nhu,3.0
cco,0.0
abt,4.0
gub,0.0
mkd,2.0
nce,4.0
doo,4.0
eng,2.0
chp,9.0
udm,9.0
pip,3.0
hay,0.0
old,0.0
tee,4.0
srs,1.0
pbr,0.0
sbf,9.0
ppl,1.0
mur,8.0
tex,13.0
kqz,1.0
mym,0.0
peh,1.0
mky,5.0
xmu,1.0
had,5.0
sna,0.0
bbc,10.0
pss,1.0
geb,9.0
wba,0.0
cho,0.0
tli,7.0
bbl,7.0
naf,7.0
sll,0.0
som,7.0
bvr,1.0
mik,0.0
wan,9.0
sue,1.0
gso,5.0
brg,10.0
mde,6.0
naq,9.0
qum,8.0
mkj,2.0
lkr,1.0
sjr,2.0
zai,8.0
hch,0.0
dih,9.0
shy,4.0
lbj,0.0
axb,1.0
spp,6.0
noa,0.0
aca,2.0
klq,0.0
zml,1.0
sja,0.0
ptp,5.0
lnb,2.0
nab,0.0
yuc,1.0
ura,0.0
afb,2.0
ava,9.0
tig,0.0
gvf,0.0
dyo,0.0
wax,0.0
tue,0.0
bvz,9.0
snc,7.0
mrz,1.0
mpc,14.0
nyn,0.0
cle,10.0
bag,0.0
yad,1.0
sid,7.0
zpq,8.0
nsm,0.0
bnc,1.0
bex,5.0
ksb,0.0
pwa,4.0
kgo,3.0
hia,6.0
mhz,5.0
ahk,7.0
tkw,5.0
sov,1.0
lhm,4.0
gde,13.0
mzh,4.0
mil,8.0
aun,6.0
pwu,0.0
prx,0.0
mek,0.0
cub,0.0
sbc,5.0
cbu,0.0
opm,7.0
mgd,4.0
kld,12.0
kln,0.0
yaq,11.0
gaa,0.0
gdm,5.0
wic,4.0
wsk,7.0
xam,1.0
tah,8.0
shb,9.0
mhx,7.0
mfi,0.0
kxv,0.0
tus,1.0
bia,1.0
avt,4.0
ann,0.0
mmn,8.0
amn,3.0
sbe,11.0
hnh,1.0
kij,1.0
kvg,0.0
bdr,1.0
mev,11.0
grt,0.0
sat,7.0
ses,11.0
adx,0.0
duo,8.0
agq,4.0
csw,1.0
khk,0.0
dnj,1.0
ywt,1.0
ain,7.0
mrt,5.0
bhw,5.0
mpq,0.0
mxx,6.0
kaa,0.0
kbp,0.0
zmt,1.0
kot,5.0
blb,1.0
saj,4.0
yrb,0.0
kal,0.0
duc,3.0
kpv,2.0
lrg,1.0
mnb,2.0
tya,7.0
zoc,4.0
zmc,12.0
yor,2.0
ctm,0.0
xwg,4.0
gru,0.0
rkb,1.0
mnc,0.0
jup,0.0
plg,0.0
snk,11.0
nob,4.0
xas,1.0
btx,4.0
lgu,10.0
tml,9.0
ocu,0.0
apy,0.0
dyy,1.0
ncg,8.0
pom,3.0
huz,0.0
var,1.0
mpt,0.0
sba,5.0
kng,4.0
itl,3.0
hus,2.0
guj,7.0
kwo,6.0
dgl,0.0
cla,5.0
tcy,0.0
scl,7.0
fon,2.0
pjt,1.0
ung,14.0
drl,13.0
jle,3.0
bmi,5.0
kab,3.0
cbr,0.0
rwo,1.0
cas,4.0
dta,1.0
ram,9.0
kmo,6.0
gbp,6.0
nhg,1.0
sif,9.0
baw,11.0
nso,3.0
gbr,3.0
dim,0.0
mhu,0.0
sip,1.0
myb,5.0
sme,1.0
msj,3.0
apc,4.0
mtg,7.0
zmr,6.0
chb,0.0
bug,1.0
kpw,0.0
gdq,4.0
mcp,0.0
lep,3.0
ndo,1.0
ndv,0.0
mnr,12.0
gdo,0.0
laj,2.0
ige,5.0
kza,1.0
ifm,3.0
puw,2.0
tio,3.0
adn,6.0
amp,7.0
bod,0.0
kky,7.0
kee,1.0
oaa,0.0
mdm,5.0
llp,2.0
mbc,4.0
xbi,2.0
dag,2.0
dus,0.0
brm,6.0
adj,0.0
hil,8.0
heb,2.0
kjg,1.0
ctp,8.0
vam,9.0
npa,6.0
jel,1.0
ijc,4.0
nez,1.0
mdi,0.0
bho,7.0
huv,1.0
oss,1.0
mso,3.0
rab,3.0
cap,12.0
bqp,9.0
buh,1.0
krs,6.0
kpy,3.0
mig,8.0
psa,3.0
kas,0.0
mxu,5.0
ekg,4.0
zul,0.0
teq,6.0
apu,4.0
wao,0.0
duu,0.0
lmn,9.0
bmr,0.0
lac,1.0
lww,6.0
dru,4.0
ndt,4.0
mch,0.0
tvo,6.0
tiw,2.0
nal,2.0
bee,0.0
mok,1.0
gym,1.0
ygr,0.0
pav,10.0
sob,2.0
ybi,0.0
irh,5.0
suq,4.0
poy,1.0
tar,1.0
lmu,3.0
akc,5.0
kyz,6.0
cir,4.0
roh,1.0
zga,0.0
klj,0.0
bip,0.0
mgw,4.0
guk,1.0
tzj,4.0
agg,0.0
kgg,0.0
tqw,0.0
lae,0.0
ulk,1.0
lhu,7.0
mnz,1.0
nxn,13.0
jar,5.0
sza,4.0
mns,7.0
wsa,5.0
urb,9.0
slp,5.0
ljp,0.0
tui,5.0
agt,8.0
nnk,9.0
kin,0.0
amh,3.0
gni,1.0
dbl,1.0
lin,5.0
wrb,12.0
fub,0.0
acm,0.0
otr,3.0
xnz,0.0
pes,0.0
prn,4.0
rap,6.0
lef,0.0
irn,0.0
cnh,9.0
kjd,3.0
usa,0.0
tpt,1.0
ngo,4.0
clk,0.0
deg,3.0
dip,11.0
mrg,0.0
guc,8.0
ykg,0.0
khq,2.0
sce,1.0
nbi,9.0
heh,0.0
cof,0.0
nse,4.0
kxa,9.0
gmm,5.0
wmb,1.0
set,0.0
zmu,1.0
bwu,3.0
shj,5.0
kbc,0.0
zag,0.0
aoj,3.0
niu,8.0
anz,5.0
liy,3.0
iai,2.0
niy,4.0
dmk,1.0
mfc,1.0
zun,3.0
njh,0.0
khd,1.0
kmn,0.0
bim,6.0
mwf,7.0
tkm,1.0
xac,0.0
tae,6.0
cyb,0.0
mar,9.0
aqc,0.0
plh,6.0
est,2.0
cab,8.0
tro,0.0
mfr,1.0
xra,0.0
dua,2.0
tmd,0.0
myh,8.0
kig,9.0
tea,2.0
isi,6.0
ktd,4.0
gah,0.0
nyo,0.0
tnl,3.0
baa,2.0
waq,7.0
nsn,2.0
mhk,6.0
dji,1.0
trp,0.0
mxe,6.0
tbg,12.0
kgj,0.0
sld,2.0
udi,0.0
boi,0.0
tem,0.0
bvx,0.0
mej,5.0
sot,1.0
snp,0.0
wnu,7.0
wra,11.0
crw,6.0
loy,0.0
tir,3.0
zay,0.0
nia,10.0
num,8.0
mme,2.0
oma,0.0
sed,2.0
loj,3.0
asu,3.0
mhj,1.0
sln,3.0
zoh,6.0
aia,2.0
mdw,9.0
hna,5.0
mls,0.0
kbd,0.0
kma,2.0
rou,6.0
pag,8.0
sad,0.0
hto,0.0
woe,2.0
mzm,6.0
kkh,1.0
kgy,0.0
gaj,7.0
fut,2.0
bwe,3.0
klb,6.0
ywq,1.0
azb,0.0
tpq,1.0
bio,0.0
