ISO,Expression_of_Pronominal_Subjects
wic,0.0
lam,2.0
jya,0.0
wiy,0.0
cub,0.0
tiw,0.0
nyv,0.0
rif,0.0
zmc,1.0
cam,2.0
gah,0.0
ewe,0.0
mnw,3.0
fub,0.0
tso,2.0
xsu,1.0
nyt,1.0
kun,0.0
kbd,0.0
bck,0.0
kjq,0.0
kee,0.0
ank,3.0
igb,2.0
yux,0.0
pma,0.0
nym,0.0
itl,0.0
csw,5.0
anz,0.0
omb,2.0
rit,5.0
gvf,0.0
mpk,2.0
nmu,0.0
mky,1.0
urf,1.0
suk,0.0
nhu,1.0
nbc,3.0
ape,0.0
udm,0.0
kha,1.0
niu,3.0
agd,0.0
aph,0.0
lnb,2.0
udl,0.0
kay,0.0
lbj,3.0
khe,0.0
tvt,1.0
kwd,2.0
mgw,0.0
mxx,1.0
buf,0.0
abk,0.0
yur,0.0
dgl,0.0
kln,0.0
tnl,0.0
ige,0.0
szp,0.0
duj,3.0
eko,0.0
vam,1.0
ksi,0.0
enn,1.0
taq,0.0
anu,0.0
tea,0.0
kac,3.0
mls,0.0
wgu,3.0
mig,4.0
irk,0.0
nal,2.0
sja,3.0
plt,1.0
kca,0.0
skf,4.0
bak,0.0
lun,0.0
yrk,0.0
nio,0.0
mgl,0.0
dni,0.0
hix,0.0
lin,0.0
bll,0.0
kld,3.0
tay,5.0
aij,0.0
ndo,1.0
som,2.0
ygr,0.0
iai,2.0
ljp,3.0
kan,0.0
est,0.0
sis,0.0
xsi,0.0
bem,0.0
nia,4.0
btx,4.0
bav,1.0
lea,0.0
sad,1.0
hur,0.0
asa,0.0
mpt,0.0
bom,0.0
mde,0.0
pad,0.0
dhv,1.0
gub,0.0
kfz,0.0
zul,0.0
kla,3.0
nbl,0.0
arh,0.0
chb,0.0
amh,0.0
lgu,2.0
sob,0.0
lkt,0.0
eng,1.0
bsc,0.0
djd,0.0
thd,1.0
myv,0.0
byn,0.0
zga,0.0
kgo,4.0
blb,5.0
skd,0.0
crk,5.0
tuv,0.0
okv,0.0
ngo,0.0
laj,0.0
mme,2.0
bvx,0.0
pom,1.0
zai,0.0
lch,0.0
mjd,5.0
acm,0.0
ute,5.0
mhi,2.0
abt,1.0
rut,0.0
kng,0.0
mph,0.0
mec,0.0
niv,3.0
kyh,0.0
bee,1.0
brh,0.0
bdm,4.0
kky,3.0
luy,0.0
tll,0.0
tlb,0.0
njz,3.0
pko,0.0
pes,0.0
rou,0.0
ntj,4.0
tae,0.0
nya,0.0
kde,0.0
tpy,1.0
gvs,0.0
lti,0.0
des,0.0
vai,1.0
nyo,0.0
kgj,0.0
haw,3.0
kjg,3.0
mxk,0.0
prn,0.0
tvo,4.0
ctd,4.0
kdj,0.0
kyq,4.0
mhu,0.0
wmt,2.0
wyb,5.0
lmc,0.0
tbg,0.0
mra,3.0
ilb,0.0
mtg,0.0
ayz,3.0
luo,0.0
abz,2.0
aoj,0.0
gug,0.0
asm,0.0
mif,2.0
anh,0.0
nus,0.0
gup,0.0
teo,0.0
isl,1.0
ibo,2.0
ogu,0.0
ung,0.0
nob,1.0
sag,0.0
mhq,0.0
dag,1.0
yaq,4.0
ddo,0.0
fut,2.0
bex,0.0
bhg,0.0
afb,0.0
sgw,0.0
nsz,4.0
puw,2.0
zoc,0.0
tig,0.0
yia,5.0
boi,0.0
lnj,1.0
kwk,0.0
spp,1.0
apu,0.0
wwr,0.0
djj,0.0
bdu,0.0
heb,4.0
qvi,0.0
mau,0.0
lag,0.0
lez,3.0
oym,0.0
imi,0.0
gdm,1.0
ong,0.0
mdj,0.0
sbc,1.0
cho,0.0
naq,1.0
uur,0.0
noo,5.0
rma,0.0
arw,0.0
mrc,0.0
pan,0.0
ksd,2.0
cld,0.0
sur,1.0
dsh,4.0
zay,0.0
pbb,5.0
nse,0.0
eme,0.0
yag,4.0
bni,0.0
kij,0.0
mfi,4.0
mkj,3.0
usa,0.0
had,0.0
mej,0.0
nab,0.0
aer,1.0
tob,0.0
uwa,4.0
tkm,0.0
dga,1.0
cle,0.0
ncl,0.0
yee,0.0
kfq,3.0
lcm,2.0
bgr,2.0
uig,1.0
tkw,0.0
cro,0.0
dip,4.0
lmn,4.0
bid,4.0
eip,0.0
tus,0.0
arz,0.0
bim,1.0
