ISO,Fixed_Stress_Locations
bjb,4.0
mrc,3.0
car,0.0
hdn,0.0
mnb,1.0
mwv,1.0
poh,3.0
heb,3.0
inh,2.0
quy,1.0
eng,0.0
cha,0.0
lew,1.0
mhy,1.0
gwc,3.0
teh,2.0
btx,0.0
kyh,0.0
xte,0.0
zmr,2.0
ckt,2.0
npy,1.0
tna,1.0
ayl,0.0
bug,1.0
mzh,2.0
wiy,0.0
niz,2.0
chv,0.0
akl,0.0
tkr,3.0
bcl,0.0
hix,0.0
lue,1.0
nyt,0.0
wnu,0.0
mog,1.0
acw,0.0
pwn,1.0
pgu,1.0
gug,3.0
laj,2.0
yee,2.0
par,0.0
pav,3.0
com,2.0
kaq,0.0
tds,2.0
bgz,0.0
hus,0.0
mme,4.0
aia,2.0
des,0.0
evn,0.0
rma,0.0
vot,2.0
aoz,1.0
sto,5.0
for,0.0
yaq,2.0
csb,0.0
cav,1.0
agu,0.0
kat,4.0
ayz,2.0
law,1.0
huz,0.0
puw,0.0
kla,0.0
tzm,3.0
aro,5.0
twu,1.0
umu,0.0
isl,2.0
cmi,0.0
kje,1.0
leu,0.0
yux,0.0
abk,0.0
ssd,5.0
aii,1.0
tun,2.0
wrr,1.0
slu,0.0
lvk,2.0
kmn,1.0
atq,1.0
set,0.0
pqm,0.0
yyr,2.0
nen,1.0
yap,0.0
nab,3.0
dhu,0.0
nsq,0.0
ese,1.0
afb,0.0
tbh,0.0
myh,0.0
jig,1.0
shi,3.0
miq,2.0
gdo,0.0
zoc,1.0
mva,0.0
cub,0.0
mky,1.0
slp,0.0
wmb,0.0
moh,1.0
lti,0.0
cdm,2.0
ajp,0.0
sdo,3.0
jaa,0.0
kii,0.0
mdf,0.0
cay,0.0
kut,1.0
pst,0.0
tby,1.0
oss,0.0
drl,2.0
hux,2.0
kij,0.0
dyo,2.0
ems,0.0
wms,1.0
spp,2.0
nmb,1.0
ppk,1.0
kky,2.0
mam,0.0
khk,0.0
pit,2.0
cyb,4.0
dhv,2.0
bhp,1.0
zsm,0.0
kwd,1.0
hal,3.0
wgy,0.0
woi,0.0
tnt,0.0
iow,0.0
kun,0.0
min,1.0
saj,4.0
shb,3.0
ava,0.0
aey,0.0
sza,3.0
shp,0.0
kwk,0.0
tsz,2.0
nez,0.0
aqc,0.0
csm,0.0
slh,0.0
ung,0.0
txn,0.0
nuy,1.0
tiw,1.0
gyd,2.0
nob,0.0
esu,0.0
xbr,1.0
aij,1.0
aly,5.0
pad,4.0
pdo,1.0
ssy,0.0
tnm,0.0
sku,0.0
szw,0.0
nxg,0.0
haw,1.0
tnl,1.0
yum,3.0
urb,3.0
ptu,1.0
xsi,0.0
cup,2.0
sly,1.0
nwi,0.0
zrs,0.0
frd,1.0
wrk,2.0
tjm,2.0
oci,0.0
rro,0.0
bzq,0.0
ace,3.0
ram,3.0
plt,1.0
kuy,0.0
see,0.0
mqy,0.0
tsi,3.0
apc,0.0
bia,2.0
win,6.0
xwk,2.0
sda,1.0
yuc,0.0
lby,5.0
jua,1.0
bew,0.0
rth,1.0
mkd,4.0
wer,3.0
stp,0.0
nig,1.0
gow,0.0
iai,2.0
irh,3.0
zmc,2.0
ker,0.0
dbl,2.0
uli,0.0
oac,3.0
ngk,1.0
nmu,0.0
pox,0.0
kjg,3.0
piu,2.0
dif,2.0
sse,1.0
gni,2.0
mtf,0.0
irk,0.0
nhg,1.0
tdn,0.0
bae,1.0
est,2.0
swh,1.0
mpc,1.0
wyb,0.0
lui,0.0
mal,0.0
hnn,1.0
quc,3.0
mlt,0.0
pma,4.0
one,1.0
spl,2.0
tub,3.0
kju,0.0
ksd,5.0
kpw,1.0
mbt,0.0
bhw,1.0
uzn,3.0
tlb,0.0
prs,3.0
lez,0.0
pib,1.0
kyl,2.0
skd,0.0
tzo,2.0
rml,3.0
mez,0.0
cho,0.0
dgl,0.0
kva,0.0
mej,0.0
kfz,2.0
bmi,3.0
amp,0.0
mhs,1.0
kld,0.0
afz,0.0
vma,2.0
mqj,1.0
jic,0.0
lrg,0.0
ons,2.0
sun,0.0
gay,0.0
auc,2.0
tpy,3.0
mrz,3.0
dih,0.0
pes,3.0
kha,3.0
kjc,1.0
zul,1.0
mpb,0.0
niv,2.0
bpp,0.0
kjn,3.0
peb,5.0
tiy,4.0
now,2.0
aca,2.0
yle,2.0
plh,1.0
gbi,1.0
lex,1.0
sro,0.0
kgk,3.0
yll,0.0
tty,0.0
koi,0.0
mhr,0.0
gvn,2.0
qvi,1.0
sel,0.0
sei,0.0
pmf,1.0
wlo,0.0
mur,0.0
grj,0.0
cmn,0.0
cku,0.0
crk,4.0
ktg,2.0
myp,0.0
jao,1.0
bej,0.0
kvv,1.0
xsu,1.0
kvo,1.0
rit,2.0
bho,0.0
kal,3.0
mrj,0.0
chl,2.0
tvk,0.0
bak,3.0
dak,5.0
skh,3.0
tgc,2.0
kei,3.0
kzf,1.0
nys,2.0
ddj,0.0
tml,3.0
blz,1.0
wic,0.0
xaw,0.0
sme,2.0
mey,0.0
urf,5.0
tah,0.0
sja,0.0
mph,1.0
mcm,0.0
alp,1.0
eno,1.0
kgo,0.0
pmt,1.0
hop,0.0
ynn,0.0
alh,1.0
tld,1.0
alo,1.0
liv,2.0
zmu,0.0
mak,1.0
mns,2.0
ekg,0.0
sed,3.0
dhg,2.0
ayc,1.0
nij,1.0
nav,0.0
nay,2.0
yij,0.0
mbc,3.0
kcl,4.0
bsk,0.0
rtm,0.0
yii,0.0
pjt,2.0
lnj,2.0
glv,2.0
bgr,3.0
