ISO,Periphrastic_Causative_Constructions
pcc,1.0
sja,1.0
tnc,0.0
lhu,0.0
zul,0.0
spp,2.0
yor,2.0
kpw,1.0
ote,0.0
bod,0.0
laj,2.0
mar,0.0
sna,0.0
gni,0.0
wic,0.0
swh,0.0
mas,0.0
yap,1.0
rma,0.0
vai,0.0
plt,0.0
bav,1.0
abk,0.0
djk,1.0
btx,0.0
ayz,1.0
ses,2.0
one,0.0
arz,0.0
tzo,0.0
gyd,0.0
kgo,0.0
mva,1.0
myp,0.0
pma,1.0
heb,0.0
pav,0.0
lez,0.0
cha,0.0
ewe,1.0
kan,0.0
lif,0.0
pes,0.0
mlm,1.0
kij,1.0
ddj,0.0
kjg,1.0
aji,0.0
ung,0.0
yii,0.0
nhg,0.0
mky,1.0
kin,2.0
gil,0.0
rej,1.0
tvl,2.0
shp,0.0
pqm,1.0
arh,0.0
srs,0.0
ibo,1.0
bmi,1.0
awn,0.0
lep,0.0
dih,1.0
kld,0.0
kfz,1.0
mzh,1.0
aey,1.0
kun,2.0
vma,0.0
kat,0.0
lvk,1.0
nym,0.0
shs,0.0
lti,1.0
knc,1.0
wmb,0.0
tuv,1.0
yaq,0.0
nav,1.0
