ISO,Applicative_Constructions
xsu,0.0
yaq,2.0
wba,0.0
aqc,0.0
knc,1.0
ckt,0.0
brh,0.0
pav,0.0
esu,0.0
lue,1.0
yor,0.0
kio,0.0
noo,2.0
pad,2.0
khk,0.0
sgw,4.0
gyd,0.0
kas,0.0
gug,0.0
lez,0.0
cnh,1.0
ddo,0.0
abq,1.0
kut,1.0
zul,1.0
kan,2.0
mtg,4.0
djk,0.0
tpt,1.0
yad,3.0
crk,2.0
aar,2.0
wrr,0.0
eng,0.0
sja,3.0
ket,0.0
naq,1.0
mpc,0.0
cku,0.0
kgo,1.0
hix,0.0
bsk,1.0
mbc,0.0
shp,1.0
kjh,0.0
mig,0.0
kal,1.0
chl,1.0
myp,0.0
tml,4.0
wmb,6.0
kwi,0.0
kjq,1.0
ibo,1.0
lvk,0.0
yii,3.0
com,1.0
sag,0.0
tvl,0.0
tzm,0.0
gni,0.0
evn,0.0
wol,1.0
zoc,2.0
niv,0.0
rap,0.0
irk,0.0
ewe,0.0
lkt,1.0
myh,0.0
abk,5.0
mni,1.0
ape,1.0
dgz,0.0
nuy,1.0
nya,1.0
lin,1.0
mky,3.0
pes,0.0
hae,0.0
xbr,1.0
pan,0.0
kat,1.0
heb,0.0
mrc,1.0
pwn,1.0
jig,0.0
spp,0.0
mur,0.0
urb,1.0
aey,2.0
one,1.0
rma,0.0
dif,1.0
kpw,0.0
sue,0.0
ram,0.0
pqm,2.0
wic,1.0
poo,0.0
kha,0.0
mph,0.0
bsn,0.0
ain,1.0
imn,1.0
inh,0.0
apu,0.0
ses,3.0
nez,1.0
cha,2.0
bmi,0.0
huz,0.0
wyb,0.0
nid,2.0
gdo,0.0
amp,2.0
kir,0.0
cmn,0.0
qvi,0.0
see,1.0
yur,0.0
ote,0.0
dbl,3.0
dni,1.0
kij,0.0
isl,0.0
yah,0.0
ayz,1.0
ktz,3.0
pma,0.0
swh,1.0
arh,1.0
cgg,3.0
