ISO,M_in_Second_Person_Singular
tqw,0.0
wnu,0.0
vam,1.0
gyd,0.0
crk,0.0
grj,1.0
kmn,0.0
aqp,0.0
yux,0.0
tml,1.0
inh,0.0
mas,0.0
kmg,1.0
hix,1.0
nrb,0.0
ung,0.0
yad,0.0
ayz,0.0
huv,1.0
pad,0.0
spp,1.0
ket,0.0
miq,1.0
amh,0.0
mdx,0.0
had,0.0
anz,0.0
hae,0.0
rap,0.0
tea,0.0
kut,0.0
xsu,0.0
mpb,0.0
dni,0.0
bod,0.0
qui,0.0
knc,1.0
jqr,1.0
siw,0.0
mzh,1.0
pue,1.0
mrc,1.0
vma,0.0
skd,1.0
ctm,0.0
ain,0.0
uma,1.0
tun,1.0
gug,0.0
tkm,1.0
oss,0.0
wac,1.0
aey,0.0
ram,0.0
zun,0.0
wsk,1.0
gym,1.0
pav,1.0
mto,1.0
bsk,1.0
gbp,1.0
ote,0.0
lvk,0.0
plt,0.0
wao,1.0
byw,0.0
abk,1.0
naq,0.0
ood,1.0
lez,0.0
wyb,0.0
bkl,1.0
nig,0.0
wrr,0.0
saj,0.0
khk,0.0
sag,1.0
pjt,0.0
gcd,0.0
eng,0.0
nuk,0.0
top,1.0
ape,0.0
tzj,0.0
kio,1.0
mig,0.0
auc,1.0
ckt,0.0
mpc,0.0
ppl,1.0
ncz,1.0
sln,1.0
tiw,0.0
kgo,0.0
wiy,1.0
itl,0.0
yrk,0.0
tsz,0.0
ses,0.0
squ,0.0
myp,0.0
wic,0.0
tya,0.0
kjq,0.0
nuy,0.0
nfl,1.0
kzw,0.0
kwi,0.0
csz,0.0
was,1.0
mni,0.0
tlf,1.0
kat,0.0
yuc,0.0
gni,0.0
caq,1.0
nll,0.0
jiv,1.0
tjm,0.0
niv,0.0
unr,1.0
lkt,0.0
pes,0.0
chv,0.0
yur,1.0
bsn,1.0
tmu,0.0
sht,1.0
zoc,1.0
arz,0.0
swh,0.0
mph,0.0
wnd,0.0
duj,0.0
yaq,1.0
pwn,0.0
ras,0.0
nab,0.0
peb,1.0
ynk,1.0
one,0.0
rma,1.0
dbl,0.0
kpw,0.0
cbs,1.0
imn,0.0
apu,1.0
kyh,1.0
yor,0.0
bmi,0.0
sua,0.0
pei,0.0
fub,1.0
amp,0.0
urf,0.0
xok,1.0
cmn,0.0
qvi,0.0
kjd,0.0
wnw,1.0
jig,0.0
fvr,0.0
cyb,0.0
ace,0.0
dgz,0.0
tzm,1.0
dif,0.0
wbk,0.0
cha,1.0
inz,1.0
ktz,0.0
set,0.0
kal,1.0
bej,0.0
git,1.0
tli,0.0
