ISO,Number_of_Non-Derived_Basic_Colour_Categories
viv,5.0
eng,6.0
vag,4.0
gym,6.0
mke,5.0
yaa,5.0
agu,5.0
mcr,5.0
iwm,5.0
lln,4.0
maq,5.5
cax,6.0
cao,4.0
srq,5.0
jic,5.0
ppo,4.5
nfr,3.0
tna,5.5
tar,5.0
bhb,5.0
yas,3.5
auc,4.0
tbl,5.0
mcf,4.0
ncu,5.5
tac,5.0
pay,5.0
cle,5.0
guh,5.0
sgz,5.0
ifb,5.0
cof,5.0
tcf,5.0
rop,6.0
kbh,6.0
ood,5.0
cav,5.0
amu,6.0
hlb,5.0
kvn,5.0
mil,5.0
dyi,6.0
kbq,6.0
ese,5.0
kmh,6.0
ptp,5.5
mwf,3.0
tuo,5.0
shp,5.0
sei,5.0
apn,5.0
huv,6.0
cbk,6.0
mur,5.0
agm,5.0
kmt,5.0
sab,6.0
mik,5.0
ycn,5.0
cbt,5.0
ess,5.0
kwe,3.0
arl,5.0
vas,5.0
wob,3.0
tnm,5.0
kpj,4.0
tca,5.0
muh,3.0
csw,5.0
bkl,5.0
cak,6.0
apz,5.0
agd,5.0
bev,3.0
bjh,5.0
agt,5.0
did,5.0
abi,3.5
cmn,6.0
var,5.0
cbi,5.0
myp,4.0
cab,6.0
tif,4.0
kex,6.0
srm,5.5
mbw,5.5
cul,4.0
dnj,3.0
oca,5.0
con,5.0
tfr,5.5
xon,3.5
cbu,5.5
yka,6.0
