ISO,Prenominal_relative_clauses
kwo,0.0
wms,2.0
wgy,1.0
huz,0.0
imn,2.0
lhu,0.0
tml,0.0
mni,0.0
yux,0.0
tuo,0.0
ncj,1.0
svs,0.0
bak,0.0
auc,1.0
eve,0.0
ura,0.0
cdm,0.0
kac,0.0
sip,0.0
evn,0.0
tac,1.0
awb,0.0
loy,0.0
nmf,0.0
ywt,1.0
bgr,2.0
jya,0.0
blb,1.0
klr,0.0
gdo,1.0
par,1.0
drd,3.0
squ,1.0
abt,0.0
kkl,0.0
sgw,0.0
ain,0.0
yrb,0.0
npa,0.0
bsk,0.0
myh,1.0
brx,0.0
adi,0.0
tya,1.0
ijc,0.0
kan,3.0
tdh,0.0
mbc,1.0
byw,0.0
prx,0.0
khe,1.0
amp,0.0
kqz,1.0
hak,0.0
cmn,0.0
mhx,0.0
mrg,0.0
new,0.0
mal,0.0
uig,0.0
tli,0.0
mar,0.0
nbc,2.0
amh,0.0
yur,1.0
apt,0.0
sat,3.0
kgj,0.0
snc,0.0
kca,0.0
aph,0.0
jup,0.0
ahg,0.0
ami,0.0
azb,1.0
sah,0.0
chx,0.0
bbl,0.0
krc,0.0
chv,0.0
swv,3.0
zay,0.0
csy,0.0
chr,0.0
acn,0.0
tsj,0.0
rab,0.0
njo,2.0
khk,0.0
sid,0.0
abk,0.0
kle,1.0
ygr,0.0
pan,2.0
raw,0.0
vay,0.0
nmu,0.0
tel,0.0
naq,0.0
kmn,0.0
huu,0.0
khg,0.0
nnm,1.0
xal,0.0
bla,1.0
kgy,0.0
hoc,0.0
mhu,0.0
ckt,1.0
adx,2.0
ahk,0.0
niv,0.0
dru,1.0
bft,0.0
cku,2.0
kff,0.0
aar,0.0
cap,0.0
tmd,2.0
qvh,0.0
kbd,0.0
kms,1.0
lif,0.0
wos,0.0
mjg,0.0
mns,0.0
uby,0.0
inh,0.0
dta,0.0
hni,0.0
kfq,0.0
bod,0.0
gmv,0.0
lez,0.0
cnh,2.0
dhi,0.0
klq,0.0
dis,0.0
eip,0.0
lmn,0.0
kxv,0.0
bee,2.0
khr,3.0
nbi,0.0
khw,0.0
unr,0.0
bca,0.0
cof,0.0
kpw,4.0
bcq,1.0
lis,0.0
