ISO,Relativization_on_Obliques
dih,3.0
wba,4.0
djk,0.0
kpw,0.0
mdy,0.0
kun,0.0
kjq,2.0
gyd,0.0
bkc,1.0
kij,0.0
ses,0.0
khk,0.0
myp,4.0
imn,0.0
pav,0.0
arz,1.0
mkf,1.0
evn,0.0
tzm,0.0
mni,0.0
ram,3.0
kfz,0.0
bol,1.0
heb,1.0
khq,0.0
abk,0.0
mas,0.0
cle,0.0
cha,0.0
luo,1.0
wyb,0.0
arh,3.0
hae,0.0
bam,3.0
kat,2.0
laj,1.0
bmi,1.0
pes,1.0
ace,0.0
spp,3.0
qvi,0.0
xbr,0.0
fvr,0.0
btx,4.0
nuy,0.0
nmb,0.0
kal,0.0
lkt,3.0
sja,3.0
lvk,3.0
khm,0.0
vma,4.0
huz,0.0
bni,0.0
anu,1.0
wnu,3.0
mig,0.0
xuu,0.0
ung,0.0
eky,1.0
pip,0.0
gni,3.0
amp,0.0
cmn,0.0
bsn,0.0
hix,3.0
aey,3.0
yux,4.0
trv,4.0
lin,1.0
kgo,1.0
pjt,0.0
mnb,0.0
swh,4.0
inh,0.0
