ISO,Position_of_Tense-Aspect_Affixes
ifb,2.0
ttr,1.0
trp,0.0
kwo,0.0
wiy,1.0
nid,0.0
noa,0.0
mvf,0.0
kuy,0.0
zmu,0.0
dhi,0.0
tri,0.0
ggw,0.0
ogo,3.0
dni,0.0
aoj,2.0
cam,1.0
pip,3.0
mbq,2.0
yue,0.0
imi,0.0
bcq,0.0
aom,0.0
cub,0.0
khe,0.0
mrt,3.0
mgw,2.0
kto,3.0
tsi,1.0
cme,1.0
wlg,3.0
xcw,0.0
yij,0.0
nux,0.0
tvu,0.0
lue,2.0
dgl,0.0
rif,2.0
tiw,2.0
sja,0.0
mig,2.0
rgr,0.0
sin,0.0
dhr,0.0
zrs,0.0
aqp,0.0
kmn,0.0
kbx,0.0
bca,1.0
bxm,0.0
apb,1.0
kee,0.0
kla,0.0
kcr,0.0
adt,0.0
sdg,0.0
pwu,0.0
was,0.0
wic,3.0
wti,0.0
tio,1.0
nsm,0.0
meu,1.0
sro,0.0
ncb,1.0
qum,2.0
gkn,4.0
xas,0.0
nhu,0.0
jiv,0.0
nyi,0.0
wnd,0.0
dta,0.0
cle,3.0
gaj,0.0
kqi,0.0
tsj,0.0
lln,3.0
dip,1.0
nbl,3.0
raw,0.0
bll,0.0
irn,0.0
bwe,1.0
zai,2.0
bci,4.0
fvr,0.0
sna,2.0
cld,0.0
mnb,2.0
bia,0.0
nbc,0.0
tpt,3.0
cas,0.0
cup,0.0
bzd,0.0
jya,2.0
rtm,0.0
duj,0.0
ctm,0.0
kha,1.0
knc,0.0
tfr,0.0
teq,2.0
mec,0.0
trw,0.0
hup,3.0
mde,0.0
bft,0.0
shk,2.0
min,1.0
xsu,1.0
bam,0.0
teu,2.0
sif,0.0
ach,2.0
uli,1.0
mkz,1.0
liy,4.0
njb,0.0
ksw,1.0
apc,3.0
slc,0.0
gde,0.0
niv,0.0
hay,2.0
aey,0.0
ktd,0.0
mls,0.0
kki,3.0
djm,3.0
alh,0.0
ian,0.0
guj,0.0
duc,0.0
lvk,0.0
vma,0.0
crw,1.0
mwe,2.0
wao,0.0
uwa,0.0
kat,0.0
aka,2.0
pwa,0.0
dyy,0.0
nbj,0.0
cgg,2.0
zmt,0.0
tzm,3.0
djk,1.0
bho,0.0
nuy,0.0
saj,1.0
tan,0.0
hnh,0.0
ocu,2.0
eip,0.0
can,0.0
plh,1.0
evn,0.0
cco,3.0
ndo,0.0
kjq,0.0
wal,0.0
kff,0.0
mjd,0.0
alc,0.0
dds,3.0
jeb,0.0
mdj,0.0
cab,0.0
xra,0.0
nez,0.0
jup,0.0
cnh,1.0
niu,1.0
arz,3.0
gbp,0.0
bip,3.0
pad,0.0
ibd,0.0
aph,0.0
xwg,0.0
nas,0.0
arw,0.0
pon,3.0
ssn,0.0
chq,3.0
lef,2.0
caq,0.0
ven,2.0
shb,0.0
sht,3.0
drd,0.0
ane,1.0
nyn,2.0
udl,2.0
ngk,0.0
hto,0.0
abk,0.0
pom,0.0
aca,0.0
peb,0.0
waw,0.0
bds,0.0
enx,0.0
agt,3.0
mrg,0.0
kxv,0.0
tvt,0.0
kwn,2.0
djd,0.0
njz,0.0
spl,0.0
tpj,0.0
bfw,0.0
hoc,0.0
ygr,3.0
bim,0.0
ilb,2.0
dow,4.0
irk,1.0
yuc,0.0
bfa,2.0
acu,0.0
los,1.0
bhg,0.0
kac,1.0
kms,1.0
myv,0.0
aro,0.0
emp,0.0
sln,1.0
smq,0.0
ywt,1.0
eng,0.0
wrk,0.0
tta,0.0
nnm,3.0
xbi,1.0
kaa,0.0
bnc,2.0
stp,0.0
ace,1.0
cyb,3.0
tee,3.0
des,0.0
mie,3.0
lhm,0.0
unr,0.0
jel,0.0
