ISO,Purpose_Clauses
shp,0.0
vma,0.0
btx,1.0
snf,0.0
dhv,1.0
plt,1.0
erg,0.0
mnb,1.0
afb,2.0
huz,0.0
yad,0.0
kan,0.0
lez,0.0
yux,0.0
vai,0.0
pav,1.0
par,0.0
mni,0.0
yaq,1.0
khk,0.0
tsz,0.0
nut,1.0
gni,2.0
rgr,0.0
nmf,0.0
pan,0.0
irk,0.0
eng,2.0
niy,0.0
lvk,0.0
niv,0.0
pjt,0.0
naq,1.0
knc,0.0
gug,1.0
tvl,0.0
dni,0.0
lue,0.0
heb,2.0
tzj,0.0
kwi,0.0
hix,0.0
mky,1.0
ung,0.0
tpi,1.0
xsu,0.0
rap,0.0
lif,0.0
cgg,0.0
hvn,1.0
myp,2.0
dgl,0.0
brc,0.0
pad,2.0
ths,0.0
anu,2.0
sja,0.0
evn,0.0
zmr,1.0
duj,0.0
wba,0.0
ain,1.0
cle,1.0
mpc,0.0
kgs,0.0
abk,2.0
rma,0.0
inh,0.0
pqm,2.0
bgr,0.0
liy,1.0
bcq,0.0
pes,0.0
kal,0.0
tnc,0.0
kgr,0.0
kat,2.0
laj,0.0
gyd,1.0
arh,0.0
ogo,2.0
spp,2.0
mkf,0.0
aey,2.0
qvh,0.0
kij,1.0
ape,1.0
cir,1.0
kio,0.0
mal,0.0
yee,0.0
itz,0.0
brh,2.0
nbm,2.0
wmb,0.0
kpw,0.0
tzm,2.0
som,1.0
grj,0.0
ibo,0.0
snc,2.0
kgo,0.0
tpy,2.0
chl,0.0
amp,0.0
hoc,0.0
kha,0.0
nuy,0.0
kdj,2.0
mig,1.0
lkt,1.0
fub,0.0
emp,0.0
cmn,1.0
pwn,1.0
mkj,0.0
hmt,0.0
kky,0.0
kjg,1.0
nhg,2.0
pip,0.0
pcm,0.0
bsk,0.0
bsn,0.0
aka,2.0
zul,0.0
khq,0.0
ijc,0.0
