ISO,Ordinal_Numerals
wba,5.0
kan,2.0
knc,2.0
kog,6.0
fry,0.0
wyb,4.0
gur,0.0
afr,0.0
hix,4.0
mns,2.0
yaq,3.0
inh,0.0
ary,1.0
kun,0.0
mal,2.0
bam,0.0
ote,3.0
wnu,6.0
kru,0.0
zul,0.0
grt,2.0
ava,3.0
xas,0.0
mpc,4.0
too,3.0
guj,0.0
mib,2.0
som,3.0
tah,0.0
nuy,4.0
krl,1.0
pid,6.0
quy,2.0
fuv,0.0
car,3.0
her,0.0
isl,1.0
sin,0.0
esu,2.0
gui,1.0
oss,0.0
sot,0.0
kek,0.0
ses,2.0
kmn,4.0
squ,1.0
kln,0.0
caa,1.0
dua,0.0
poc,0.0
ale,0.0
ckt,2.0
mam,0.0
pip,3.0
mls,0.0
evn,1.0
ape,4.0
mah,3.0
bla,0.0
pre,5.0
yee,0.0
cop,0.0
tuv,0.0
bis,2.0
lad,1.0
yux,0.0
plt,0.0
rap,0.0
naq,0.0
gyd,4.0
wol,0.0
yor,3.0
ibo,0.0
kbk,4.0
tya,4.0
imn,4.0
yue,3.0
see,4.0
ixl,0.0
arh,4.0
mig,4.0
mrz,4.0
mlq,2.0
dhv,0.0
sna,0.0
tiw,4.0
dsb,1.0
maq,0.0
kaz,3.0
kpv,1.0
eng,1.0
aey,2.0
kjq,2.0
niv,5.0
ker,0.0
sme,1.0
zsm,0.0
spu,7.0
wrr,4.0
brh,2.0
crn,3.0
diq,0.0
pqm,0.0
pav,4.0
ewe,0.0
mec,4.0
guc,5.0
khk,2.0
vep,1.0
tkr,3.0
gug,2.0
xal,3.0
lez,3.0
sur,3.0
vma,4.0
ard,4.0
gcf,2.0
teu,1.0
tzm,0.0
itl,1.0
lif,4.0
gax,0.0
poe,0.0
mky,2.0
vot,1.0
irk,5.0
kwi,4.0
cam,3.0
mni,2.0
sah,0.0
kto,2.0
bsk,0.0
acr,0.0
mdi,0.0
chl,2.0
ain,4.0
mfv,0.0
kpw,4.0
dyo,0.0
gaz,2.0
cak,0.0
ram,4.0
mnc,2.0
uig,3.0
kat,0.0
kas,2.0
ket,2.0
bak,3.0
aoa,5.0
fia,0.0
qug,2.0
gni,4.0
mkd,1.0
nav,2.0
lkt,0.0
hsb,1.0
abk,2.0
dus,4.0
par,2.0
cyb,4.0
cle,4.0
liv,1.0
bwo,2.0
skd,1.0
pes,2.0
hae,0.0
huz,3.0
bvb,5.0
hop,3.0
heb,0.0
wal,0.0
yrk,1.0
tnk,3.0
eve,2.0
otz,0.0
crs,0.0
kha,0.0
grj,0.0
haw,2.0
lue,0.0
coz,0.0
ceb,0.0
hat,0.0
les,0.0
frr,1.0
toj,2.0
knj,0.0
kxv,2.0
kij,6.0
qvi,2.0
ayc,5.0
cha,0.0
pwn,3.0
abb,0.0
kir,3.0
izh,1.0
tuk,3.0
sus,0.0
afb,0.0
amp,0.0
tzo,0.0
glg,1.0
cmn,3.0
cku,0.0
sbe,0.0
est,1.0
cab,0.0
mbc,2.0
lbj,2.0
pst,0.0
nez,0.0
kfa,3.0
bsn,4.0
ksq,2.0
mrj,2.0
nob,1.0
nds,0.0
ayz,2.0
zav,2.0
unr,5.0
chv,3.0
swh,1.0
niy,0.0
xpe,7.0
mtg,3.0
