ISO,Order_of_Genitive_and_Noun
enn,1.0
dsh,0.0
ajg,2.0
mkd,2.0
khq,0.0
bex,1.0
tli,0.0
bsk,0.0
prn,0.0
ths,0.0
mch,0.0
yns,1.0
mwv,1.0
tfr,0.0
ksi,1.0
kgj,0.0
pad,0.0
raw,0.0
rif,1.0
les,2.0
kyz,0.0
duo,1.0
kfz,0.0
dua,1.0
gmv,0.0
nbj,2.0
jiv,0.0
ndo,1.0
bla,0.0
bbc,1.0
cak,1.0
dyo,1.0
kyq,1.0
nbl,1.0
mhq,0.0
aka,0.0
lhu,0.0
apt,0.0
nun,0.0
miq,0.0
mxe,2.0
cbu,0.0
cbr,0.0
adn,0.0
dih,0.0
mkj,2.0
iba,1.0
aiw,0.0
ewe,0.0
axb,2.0
nia,1.0
mra,0.0
uwa,1.0
ktg,0.0
klq,0.0
mrc,0.0
knc,1.0
chc,0.0
myh,2.0
gni,2.0
mpq,0.0
cho,0.0
sat,0.0
eme,0.0
mla,1.0
lti,0.0
kat,0.0
mev,0.0
thf,0.0
kry,0.0
mgl,2.0
dji,0.0
mxk,0.0
sjg,0.0
byw,0.0
bmi,1.0
kos,1.0
crw,1.0
one,2.0
kmo,0.0
nsn,1.0
mxx,0.0
dgz,0.0
tqw,0.0
thd,1.0
ctm,0.0
brf,1.0
cam,1.0
nbc,0.0
zay,0.0
mva,1.0
aes,0.0
wsk,0.0
div,0.0
mxp,0.0
xsu,0.0
mwe,1.0
grj,0.0
are,1.0
plt,1.0
huu,0.0
gaa,0.0
lae,0.0
liy,1.0
bhg,0.0
mdi,2.0
dif,0.0
kam,1.0
did,1.0
xtc,1.0
guk,1.0
svs,0.0
gdo,0.0
xav,0.0
rao,0.0
ong,2.0
ndt,1.0
gdm,1.0
tti,0.0
tkm,0.0
zne,2.0
aey,0.0
spp,0.0
kwa,0.0
rtm,1.0
ndi,0.0
tvl,1.0
lao,1.0
pwg,0.0
sif,0.0
duj,2.0
led,0.0
cup,0.0
iqu,0.0
bak,0.0
mej,0.0
ary,1.0
kbl,1.0
zga,1.0
wms,0.0
kpv,0.0
lgu,1.0
bot,1.0
bud,0.0
ppo,0.0
tdn,1.0
rgr,0.0
hix,0.0
ogo,1.0
ram,0.0
nhg,1.0
rma,0.0
lam,1.0
bzd,0.0
nez,0.0
mgd,1.0
poi,0.0
pwn,1.0
chh,2.0
tbo,0.0
bbl,0.0
omb,1.0
zai,1.0
ard,2.0
bxm,0.0
sst,0.0
muz,1.0
abt,0.0
plu,0.0
men,0.0
mpt,0.0
nid,2.0
ese,0.0
mph,0.0
mbq,0.0
unr,0.0
shm,0.0
dag,0.0
bck,0.0
shs,1.0
kjd,0.0
kbp,0.0
tae,0.0
mas,1.0
kaa,0.0
apc,1.0
kun,0.0
puw,0.0
gub,0.0
tbl,1.0
nyi,0.0
kac,0.0
kay,0.0
saj,0.0
fut,1.0
hch,0.0
apr,2.0
kgy,0.0
aro,0.0
ach,1.0
crn,2.0
mgp,0.0
suq,1.0
nyn,1.0
tms,1.0
ckt,0.0
haw,1.0
pbb,0.0
oss,0.0
kld,2.0
kbc,2.0
vai,0.0
kpz,1.0
ano,0.0
aqp,0.0
anu,1.0
waw,0.0
ywt,0.0
ket,0.0
bfw,0.0
sus,0.0
kig,0.0
kna,1.0
hil,1.0
khl,0.0
pue,2.0
ttr,1.0
mam,1.0
eno,1.0
mgw,1.0
sis,2.0
mhi,2.0
trv,1.0
xkp,0.0
kky,2.0
ncl,2.0
sbc,1.0
ktz,0.0
btx,1.0
des,0.0
wyb,0.0
tca,2.0
vam,0.0
pau,1.0
kvn,2.0
tly,0.0
mez,0.0
tpy,0.0
nuy,2.0
kee,0.0
yee,0.0
mge,1.0
kma,0.0
tri,0.0
mdj,2.0
nsm,0.0
bll,0.0
cpa,1.0
sei,0.0
mhy,1.0
evn,0.0
myb,1.0
mpe,1.0
com,0.0
squ,1.0
mfi,1.0
rug,1.0
bfa,1.0
teq,1.0
qum,1.0
sag,1.0
tah,2.0
nko,0.0
gcd,0.0
hoa,1.0
sed,1.0
jel,2.0
bam,0.0
ywq,0.0
bee,0.0
woi,0.0
pma,1.0
mec,2.0
anh,2.0
est,0.0
jaq,0.0
sad,0.0
ngk,1.0
arz,1.0
xsi,0.0
wao,0.0
blb,0.0
kff,0.0
irk,1.0
brx,0.0
szp,0.0
ifb,1.0
jle,1.0
bzr,0.0
afb,1.0
rou,0.0
fub,1.0
mnk,0.0
car,0.0
imi,0.0
mua,1.0
mnb,1.0
tks,0.0
trp,0.0
tex,1.0
mxu,1.0
ppl,1.0
guw,2.0
khw,0.0
ibo,1.0
apn,0.0
kdj,1.0
tzo,1.0
wog,0.0
abk,0.0
mvn,0.0
mtg,0.0
csy,0.0
adz,0.0
irn,0.0
sah,0.0
wrk,0.0
kxv,0.0
alp,0.0
cld,1.0
xal,0.0
duc,0.0
kpx,0.0
cro,0.0
kfk,0.0
aom,0.0
rng,1.0
asm,0.0
frs,2.0
mna,2.0
nga,1.0
ncg,1.0
gmm,1.0
amm,0.0
usa,0.0
kas,0.0
nut,1.0
mcr,0.0
mte,2.0
tnc,0.0
rwa,0.0
tzm,1.0
ker,1.0
guc,1.0
owi,0.0
cap,0.0
xpe,0.0
mug,1.0
kut,1.0
agt,1.0
kjg,1.0
kfq,0.0
lmn,0.0
spl,0.0
was,0.0
nak,1.0
tpt,1.0
bqc,0.0
psa,0.0
lag,1.0
tzn,0.0
lmu,1.0
eng,2.0
yle,0.0
shi,1.0
sua,2.0
tcf,1.0
mcb,1.0
mlq,0.0
ura,0.0
glu,1.0
pia,0.0
brm,1.0
cjm,1.0
yue,0.0
mrt,1.0
mhu,0.0
amh,0.0
pnw,2.0
dud,1.0
ceb,1.0
ury,0.0
ses,0.0
etr,0.0
kln,1.0
anc,1.0
awi,0.0
itl,2.0
xsr,0.0
hop,0.0
wba,0.0
mur,1.0
wiy,0.0
naf,0.0
new,0.0
bri,1.0
sgw,0.0
kah,1.0
pib,0.0
kxa,1.0
gup,0.0
clo,1.0
chv,0.0
naq,0.0
mnw,1.0
kng,1.0
paw,0.0
mde,2.0
kab,1.0
nmu,0.0
boi,1.0
cme,0.0
kcr,1.0
bnc,1.0
